57, 109, 1384, 924, 3238
57, 108, 1658, 1854, 3330
58, 108, 1500, 1942, 4120
55, 107, 1500, 1170, 3396
56, 109, 1356, 1170, 2696
57, 105, 1182, 1372, 2696
55, 106, 2220, 1372, 4416
56, 107, 1892, 2250, 2936
56, 105, 1190, 490, 3720
55, 106, 1648, 2472, 3024
55, 107, 1648, 492, 3830
57, 108, 1140, 492, 3426
56, 108, 838, 1954, 3426
56, 109, 2110, 1646, 3306
57, 108, 1126, 1008, 3608
57, 109, 1222, 936, 3358
58, 108, 1614, 2810, 3558
58, 109, 2928, 1406, 3650
56, 110, 1146, 1086, 3580
56, 109, 1118, 996, 2910
56, 108, 1118, 996, 3616
57, 109, 1416, 1388, 3616
58, 109, 1974, 762, 3584
57, 108, 1546, 1522, 3248
56, 108, 1682, 1870, 3546
56, 108, 1714, 1426, 3648
56, 110, 628, 1608, 3368
57, 109, 1400, 1644, 3318
57, 110, 830, 1180, 3572
57, 110, 1914, 1546, 3374
57, 110, 1492, 1794, 3450
58, 110, 1032, 1932, 3780
55, 110, 1032, 1932, 3314
57, 110, 1328, 1050, 3314
57, 109, 1460, 1434, 3142
57, 109, 1904, 1444, 3594
56, 108, 1492, 874, 3430
58, 108, 2346, 1078, 3060
58, 109, 1618, 1654, 3630
59, 108, 1618, 1654, 3606
55, 109, 1074, 1558, 3184
55, 106, 672, 1500, 3356
56, 110, 1208, 1750, 3356
55, 110, 1922, 1964, 3706
56, 109, 1300, 2186, 3418
56, 108, 1826, 1576, 3240
57, 109, 1852, 1618, 3746
57, 110, 1250, 324, 3196
55, 111, 1354, 1772, 3216
56, 110, 1870, 1524, 3706
57, 109, 1870, 1524, 3610
56, 109, 994, 1870, 3132
55, 110, 1832, 1644, 3132
55, 110, 966, 1816, 3598
55, 108, 1880, 1798, 3800
55, 106, 982, 1566, 3228
56, 111, 1318, 1726, 3270
57, 109, 1564, 1290, 3632
57, 110, 1158, 1406, 3196
58, 110, 1472, 1340, 3296
57, 108, 1560, 1638, 3618
57, 110, 1560, 668, 3338
56, 112, 1656, 668, 3114
57, 112, 1394, 1776, 3114
57, 110, 1860, 2004, 3748
57, 109, 1114, 1768, 3660
55, 110, 2072, 1138, 3118
57, 109, 964, 1352, 3462
58, 109, 1970, 852, 3470
56, 104, 1970, 1704, 3266
56, 108, 1576, 1458, 3468
56, 110, 1576, 1734, 3564
58, 108, 330, 1734, 3300
56, 109, 1200, 1568, 3440
57, 108, 1632, 2136, 3440
56, 108, 1550, 1450, 3774
58, 110, 1936, 1508, 3328
58, 109, 1598, 1864, 3428
59, 110, 1336, 1950, 3882
58, 110, 550, 1398, 3338
57, 109, 550, 1214, 3036
58, 109, 1590, 1214, 3606
58, 108, 1844, 1096, 3474
57, 109, 1310, 1364, 3474
57, 108, 1892, 938, 3026
57, 110, 1684, 1626, 3574
57, 110, 1190, 1720, 3794
57, 108, 1040, 1658, 3238
59, 109, 1672, 1438, 3334
55, 110, 2246, 1580, 3738
56, 109, 1226, 1662, 3282
59, 111, 1226, 1224, 3126
59, 111, 1958, 1682, 3754
58, 112, 1570, 1682, 3402
58, 110, 818, 1010, 3402
58, 110, 1302, 1716, 3198
58, 110, 2038, 1880, 3678
57, 110, 1434, 1626, 3538
57, 109, 1524, 2496, 3278
58, 110, 2204, 1120, 3402
57, 109, 2204, 1238, 3676
58, 111, 1150, 1422, 3142
58, 109, 926, 1422, 3400
56, 109, 1810, 1286, 3514
57, 109, 1100, 1420, 3514
56, 112, 1744, 1386, 3292
53, 111, 1700, 1750, 3424
56, 111, 2352, 1700, 3822
58, 112, 1266, 1398, 3386
57, 112, 1244, 1346, 3128
58, 110, 1244, 1712, 3668
59, 110, 1728, 1712, 3454
56, 111, 1324, 1500, 3454
57, 110, 1764, 1254, 3092
56, 110, 1744, 1048, 3560
56, 111, 1278, 1948, 3620
58, 111, 1260, 1234, 3264
56, 112, 1916, 1092, 3374
56, 114, 348, 1710, 3594
57, 112, 1482, 1510, 3134
57, 111, 1482, 1604, 3356
56, 111, 1726, 1356, 3648
59, 111, 1950, 1356, 3648
57, 113, 1382, 1580, 3318
57, 114, 1072, 2060, 3428
58, 112, 412, 904, 3512
58, 111, 550, 1690, 3526
56, 111, 1654, 1136, 2978
57, 111, 1696, 1516, 3564
56, 111, 1696, 1638, 3566
57, 110, 1406, 1638, 3110
56, 111, 1382, 1248, 3552
57, 111, 1712, 1618, 3552
58, 112, 1478, 1522, 3774
58, 112, 868, 1412, 3304
58, 112, 2136, 1048, 3134
59, 112, 1930, 1364, 3802
56, 113, 2054, 1418, 3316
58, 112, 1098, 1388, 3182
59, 112, 1098, 1966, 3694
59, 111, 1060, 1966, 3498
57, 111, 1378, 1346, 3498
58, 111, 1464, 1722, 3134
58, 110, 332, 1218, 3570
59, 111, 1830, 1168, 3520
58, 109, 1856, 1012, 3164
57, 110, 1518, 1470, 3602
58, 109, 1030, 1882, 3704
55, 112, 1304, 1474, 3246
55, 112, 1384, 950, 3256
58, 112, 1384, 628, 3486
59, 112, 1924, 628, 3262
59, 113, 1574, 1122, 3262
59, 112, 1346, 1426, 3464
58, 112, 1028, 2254, 3904
59, 113, 1146, 1374, 3354
58, 112, 1382, 1930, 3222
58, 112, 1382, 1850, 3648
58, 111, 1080, 1850, 3632
