60, 43, 1912, 186, 3496
60, 43, 2004, 242, 3486
60, 43, 2658, 138, 3178
59, 42, 2050, 1104, 3620
60, 42, 888, 1012, 3382
60, 44, 888, -600, 4278
59, 43, 2044, 1620, 2652
60, 43, 1884, 398, 3556
59, 43, 776, 398, 3210
58, 41, 2210, 946, 3532
60, 42, 2180, 946, 3532
59, 41, 2160, 794, 3884
58, 44, 2786, -668, 3226
60, 44, 2020, 818, 3368
62, 43, 2008, 1198, 3704
62, 43, 2144, 188, 3358
61, 41, 2144, 242, 3036
61, 43, 1778, 242, 3548
61, 43, 2258, 654, 3542
61, 42, 1660, 758, 3542
61, 42, 1888, 592, 3250
60, 41, 1302, 652, 3746
61, 45, 1468, 662, 3636
60, 43, 1998, 386, 3092
61, 41, 2684, 108, 3596
61, 42, 2290, 24, 3436
61, 42, 2290, 236, 3122
60, 43, 3012, 236, 3856
59, 45, 2074, 2098, 3856
60, 43, 2178, 46, 3430
59, 44, 1752, 876, 3358
59, 43, 1858, 128, 3168
59, 43, 2164, -488, 3380
59, 40, 2470, 560, 3454
59, 41, 2470, 304, 3194
60, 40, 2304, 304, 3194
58, 38, 2376, 756, 3216
58, 39, 1122, -282, 3216
58, 44, 2220, 1316, 3214
59, 41, 1706, 784, 3622
60, 42, 1708, 376, 3570
61, 42, 2538, 974, 3106
57, 43, 2412, 116, 3350
60, 43, 1220, 1502, 3804
60, 42, 1220, 162, 3118
60, 43, 1378, 162, 3118
60, 42, 2824, 982, 3362
59, 40, 1462, 230, 3542
60, 41, 1410, 360, 3430
59, 41, 2214, -916, 2976
58, 44, 2136, 1960, 3924
58, 43, 1802, 418, 3538
58, 45, 2138, 612, 3214
57, 44, 2138, 150, 3478
57, 43, 1564, 150, 3478
57, 47, 2230, 222, 3362
57, 46, 1866, 374, 3186
57, 46, 2890, 958, 3720
58, 44, 2192, 214, 3494
57, 47, 2018, 524, 3286
55, 45, 2094, 1226, 3496
56, 44, 1026, 1162, 3676
